PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,6.063000000000001,151.0,-30.0,0,0,0,0
2,0,0,6.01,144.551,-34.748,0,0,0,0
3,0,0,5.952999999999999,150.0,-40.0,0,0,0,0
4,0,0,-6.736,96.146,23.569,0,0,0,0
5,0,0,-6.697,95.934,22.41,0,0,0,0
6,0,0,-6.661,95.74,21.264,0,0,0,0
7,0,0,-6.648,95.56,20.124,0,0,0,0
8,0,0,-6.633,95.421,19.112,0,0,0,0
9,0,0,-6.587,95.265,18.033,0,0,0,0
10,0,0,-6.565,95.143,16.945,0,0,0,0
11,0,0,-6.539,95.047,15.933,0,0,0,0
12,0,0,-6.513,94.95,14.922,0,0,0,0
13,0,0,-6.487,94.854,13.911,0,0,0,0
14,0,0,-6.461,94.758,12.9,0,0,0,0
15,0,0,-6.434,94.661,11.888,0,0,0,0
16,0,0,-6.408,94.565,10.877,0,0,0,0
17,0,0,-6.381,94.469,9.866,0,0,0,0
18,0,0,-6.355,94.373,8.855,0,0,0,0
19,0,0,-6.328,94.276,7.843,0,0,0,0
20,0,0,-6.302,94.18,6.832,0,0,0,0
21,0,0,-6.275,94.084,5.821,0,0,0,0
22,0,0,-6.249,93.987,4.81,0,0,0,0
23,0,0,-6.2219999999999995,93.891,3.798,0,0,0,0
24,0,0,-6.196,93.795,2.787,0,0,0,0
25,0,0,-6.169,93.698,1.776,0,0,0,0
26,0,0,-6.143,93.602,0.765,0,0,0,0
27,0,0,-6.116,93.506,-0.246,0,0,0,0
28,0,0,-6.09,93.409,-1.257,0,0,0,0
29,0,0,-6.063,93.313,-2.268,0,0,0,0
30,0,0,-6.037,93.217,-3.279,0,0,0,0
31,0,0,-6.011,93.12,-4.291,0,0,0,0
32,0,0,-5.984,93.024,-5.302,0,0,0,0
33,0,0,-5.958,92.928,-6.313,0,0,0,0
34,0,0,-5.931,92.831,-7.324,0,0,0,0
35,0,0,-5.905,92.735,-8.336,0,0,0,0
36,0,0,-5.878,92.639,-9.347,0,0,0,0
37,0,0,-5.852,92.543,-10.358,0,0,0,0
38,0,0,-5.825,92.446,-11.369,0,0,0,0
39,0,0,-5.799,92.35,-12.38,0,0,0,0
40,0,0,-5.772,92.254,-13.392,0,0,0,0
41,0,0,-5.746,92.157,-14.403,0,0,0,0
42,0,0,-5.719,92.061,-15.414,0,0,0,0
43,0,0,-5.693,91.965,-16.425,0,0,0,0
44,0,0,-5.666,91.868,-17.437,0,0,0,0
45,0,0,-5.64,91.772,-18.448,0,0,0,0
46,0,0,-5.6129999999999995,91.676,-19.459,0,0,0,0
47,0,0,-5.587,91.579,-20.47,0,0,0,0
48,0,0,-5.5600000000000005,91.483,-21.482,0,0,0,0
49,0,0,-5.534,91.387,-22.493,0,0,0,0
50,0,0,-5.481,91.312,-23.508,0,0,0,0
51,0,0,-5.4559999999999995,91.208,-24.523,0,0,0,0
52,0,0,-5.43,91.126,-25.527,0,0,0,0
53,0,0,-5.416,91.037,-26.602,0,0,0,0
54,0,0,-5.4030000000000005,90.943,-27.598,0,0,0,0
55,0,0,-5.39,90.826,-28.591,0,0,0,0
56,0,0,-5.377,90.674,-29.579,0,0,0,0
57,0,0,-5.364,90.475,-30.559,0,0,0,0
58,0,0,-5.351,90.218,-31.525,0,0,0,0
59,0,0,-5.338,89.892,-32.47,0,0,0,0
60,0,0,-5.325,89.487,-33.384,0,0,0,0
61,0,0,-5.312,88.996,-34.255,0,0,0,0
62,0,0,-5.2989999999999995,88.413,-35.067,0,0,0,0
63,0,0,-5.286,87.736,-35.802,0,0,0,0
64,0,0,-5.273,86.967,-36.44,0,0,0,0
65,0,0,-5.26,86.119,-36.969,0,0,0,0
66,0,0,-5.247,85.212,-37.387,0,0,0,0
67,0,0,-5.234,84.263,-37.702,0,0,0,0
68,0,0,-5.221,83.287,-37.918,0,0,0,0
69,0,0,-5.208,82.296,-38.047,0,0,0,0
70,0,0,-5.195,81.297,-38.099,0,0,0,0
71,0,0,-5.182,80.298,-38.085,0,0,0,0
72,0,0,-5.1690000000000005,79.3,-38.017,0,0,0,0
73,0,0,-5.156,78.306,-37.906,0,0,0,0
74,0,0,-5.143,77.316,-37.764,0,0,0,0
75,0,0,-5.13,76.329,-37.604,0,0,0,0
76,0,0,-5.141,75.288,-37.403,0,0,0,0
77,0,0,-5.156,74.282,-37.169,0,0,0,0
78,0,0,-5.162,73.27,-36.915,0,0,0,0
79,0,0,-5.1850000000000005,72.24,-36.67,0,0,0,0
80,0,0,-5.196,71.206,-36.405,0,0,0,0
81,0,0,-5.214,70.158,-36.142,0,0,0,0
